tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SCSR01	JABABT01	JABABT01 sp014238095	NrdJ	NrdJuc02
Archaea	Aenigmatarchaeota_A	Aenigmatarchaeia_A	GW2011-AR5	SpSt-1120	SpSt-1120	SpSt-1120 sp011373045	NrdD	NrdDi
Archaea	Aenigmatarchaeota_A	Aenigmatarchaeia_A	GW2011-AR5	SpSt-1120	SpSt-1120	SpSt-1120 sp011373045	NrdD	NrdDuc01
Archaea	Aenigmatarchaeota_A	Aenigmatarchaeia_A	GW2011-AR5	GCA-2688965	GCA-2688965	GCA-2688965 sp002688965	NrdJ	NrdJk
Archaea	Aenigmatarchaeota_A	Aenigmatarchaeia_A	GW2011-AR5	GCA-2688965	GCA-2688965	GCA-2688965 sp002688965	NrdJ	NrdJm
Archaea	Aenigmatarchaeota_A	Aenigmatarchaeia_A	GW2011-AR5	GCA-2688965	GCA-2688965	GCA-2688965 sp002688965	NrdJ	NrdJm
Bacteria	Aerophobota	Aerophobia	Aerophobales	AE-B3A	AE-B3B	AE-B3B sp005223085	NrdD	NrdDd
Bacteria	Aerophobota	Aerophobia	Aerophobales	B47-G16	B47-G16	B47-G16 sp003648815	NrdD	NrdDd
Bacteria	Aerophobota	Aerophobia	Aerophobales	AE-B3A	AE-B3A	AE-B3A sp005223095	NrdD	NrdDd
Bacteria	Aerophobota	Aerophobia	Aerophobales	B3-G15	B3-G15	B3-G15 sp003648845	NrdD	NrdDd
Bacteria	Aerophobota	Aerophobia	Aerophobales	AE-B3A	SOJT01	SOJT01 sp004376185	NrdJ	NrdJuc02
Archaea	Altarchaeota	Altarchaeia	IMC4	QMZM01	QMZG01	QMZG01 sp003663045	NrdD	NrdDd
Archaea	Altarchaeota	Altarchaeia	IMC4	SCGC-AAA252-I15	CABMCB01	CABMCB01 sp902384455	NrdD	NrdDd
Archaea	Altarchaeota	Altarchaeia	IMC4	QMZM01	EX4484-2	EX4484-2 sp002254565	NrdD	NrdDuc00
Archaea	Altarchaeota	Altarchaeia	IMC4	QMZM01	QMZM01	QMZM01 sp003663175	NrdD	NrdDuc00
Archaea	Altarchaeota	Altarchaeia	Altarchaeales	Altarchaeaceae	Altarchaeum	Altarchaeum hamiconexum	NrdD	NrdDuc00
Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	UBA11096	UBA11096 sp003696155	NrdA	NrdAh
Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Aquifex	Aquifex aeolicus	NrdA	NrdAh
Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis sp000702425	NrdA	NrdAh
Bacteria	Aquificota	Desulfurobacteriia	Desulfurobacteriales	Desulfurobacteriaceae	Phorcysia	Phorcysia thermohydrogeniphila	NrdA	NrdAh
Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter thermophilus	NrdA	NrdAh
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	UphvI-Ar2	UphvI-Ar2 sp013823945	NrdA	NrdAh
