tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	Goldbacteria	PGYV01	PGYV01	PGYV01	PGYV01	PGYV01 sp002839855	NrdD	NrdDd
Bacteria	Goldbacteria	PGYV01	PGYV01	CAILUR01	CAILUR01	CAILUR01 sp903837445	NrdD	NrdDd
Bacteria	Goldbacteria	PGYV01	PGYV01	DSBP01	DSBP01	DSBP01 sp011049465	NrdD	NrdDd
Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	Hadarchaeaceae	DG-33	DG-33 sp001515185	NrdD	NrdDd
Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	DTKF01	DTKF01	DTKF01 sp011367225	NrdD	NrdDd
Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	DSZJ01	DSZJ01	DSZJ01 sp011367145	NrdD	NrdDd
Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	DSZJ01	DSZJ01	DSZJ01 sp011367145	NrdD	NrdDd
Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	Hadarchaeaceae	Hadarchaeum	Hadarchaeum yellowstonense	NrdD	NrdDd
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halobellus	Halobellus sp003665935	NrdA	NrdAi
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum sp003781945	NrdA	NrdAi
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halohasta	Halohasta sp001563795	NrdA	NrdAi
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum xinjiangense	NrdA	NrdAi
Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum kocurii	NrdA	NrdAi
Archaea	Huberarchaeota	Huberarchaeia	Huberarchaeales	Huberarchaeaceae	Huberarchaeum	Huberarchaeum crystalense	NrdD	NrdDuc00
Bacteria	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	SLHB01	JABWCD01	JABWCD01 sp013359265	NrdA	NrdAz
Bacteria	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	JAACEL01	JAACEL01	JAACEL01 sp011682535	NrdD	NrdDd
Bacteria	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	CAITNO01	JAAYJV01	JAAYJV01 sp002070275	NrdD	NrdDd
Bacteria	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	CAIZGN01	CAIZGN01	CAIZGN01 sp903932505	NrdD	NrdDd
Bacteria	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	CAIZGN01	CAIZGN01	CAIZGN01 sp903932505	NrdD	NrdDd
Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	BMS3B	BMS3B	BMS3B sp002897955	NrdD	NrdDf
Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	BMS3B	JAADFH01	JAADFH01 sp013152995	NrdD	NrdDf
Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	SZUA-236	SZUA-236	SZUA-236 sp002923215	NrdD	NrdDf
Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	SZUA-236	J060	J060 sp003695745	NrdD	NrdDf
Archaea	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeales	Hydrothermarchaeaceae	Hydrothermarchaeum	Hydrothermarchaeum profundi	NrdD	NrdDf
Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	JAAZKV01	JAAZKV01	JAAZKV01 sp902385225	NrdD	NrdDd
Archaea	Iainarchaeota	Iainarchaeia	B1Sed10-29	B1Sed10-29	CSSED10-269	CSSED10-269 sp003558235	NrdD	NrdDd
Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	1-14-0-10-31-34	1-14-0-10-31-34	1-14-0-10-31-34 sp002763225	NrdD	NrdDd
Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	GCA-2688035	GCA-2688035	GCA-2688035 sp002688035	NrdD	NrdDd
Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	JAAZKV01	JAAZKV01	JAAZKV01 sp012799645	NrdD	NrdDd
Bacteria	J088	J088	J088	J088	J088	J088 sp003695505	NrdJ	NrdJd
Bacteria	JABDJQ01	JABDJQ01	JABDJQ01	JABDJQ01	JABDJQ01	JABDJQ01 sp013002425	NrdJ	NrdJd
Bacteria	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01 sp014360465	NrdD	NrdDf
Bacteria	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01 sp014360495	NrdD	NrdDf
Bacteria	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01 sp014360465	NrdJ	NrdJuc02
Bacteria	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01	JACIXR01 sp014360495	NrdJ	NrdJuc02
Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63 sp002747875	NrdD	NrdDd
Bacteria	Krumholzibacteriota	Krumholzibacteria	Krumholzibacteriales	Krumholzibacteriaceae	4484-7	4484-7 sp002085285	NrdD	NrdDd
Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63 sp002747875	NrdJ	NrdJd
Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	CAINDZ01	CAINDZ01 sp903859215	NrdJ	NrdJd
Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63	LZORAL124-64-63 sp003646045	NrdJ	NrdJd
Bacteria	KSB1	UBA2214	UBA2214	JAADGR01	JAADGR01	JAADGR01 sp011682565	NrdD	NrdDd
Bacteria	KSB1	UBA2214	UBA2214	UBA2214	JAAYTV01	JAAYTV01 sp012523655	NrdD	NrdDf
Bacteria	KSB1	UBA2214	UBA2214	Zgenome-0027	Zgenome-0027	Zgenome-0027 sp003854995	NrdJ	NrdJd
Bacteria	KSB1	UBA2214	UBA2214	UBA2214	UBA2214	UBA2214 sp002327255	NrdJ	NrdJd
Bacteria	KSB1	UBA2214	UBA2214	JAADGR01	JAADGR01	JAADGR01 sp013152225	NrdJ	NrdJd
Bacteria	Latescibacterota	UBA2968	UBA2968	UBA2968	VXRD01	VXRD01 sp009838845	NrdA	NrdAz
Bacteria	Latescibacterota	UBA2968	UBA2968	UBA2968	UBA6620	UBA6620 sp002433075	NrdA	NrdAz
Bacteria	Latescibacterota	UBA2968	UBA2968	UBA2968	UBA2968	UBA2968 sp002714465	NrdA	NrdAz
Bacteria	Latescibacterota	UBA2968	UBA2968	UBA2968	UBA2968	UBA2968 sp002727195	NrdA	NrdAz
Bacteria	Latescibacterota	MVCY01	MVCY01	MVCY01	MVCY01	MVCY01 sp002049985	NrdD	NrdDd
Bacteria	Lindowbacteria	2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27	2-12-FULL-62-27 sp001784175	NrdJ	NrdJd
Bacteria	Margulisbacteria	Marinamargulisbacteria	GCA-2716485	GCA-002719695	AG-343-D04	AG-343-D04 sp003265885	NrdA	NrdAz
Bacteria	Margulisbacteria	Marinamargulisbacteria	UBA817	UBA817	CACECR01	CACECR01 sp902558105	NrdA	NrdAz
Bacteria	Margulisbacteria	Marinamargulisbacteria	SXXA01	SXXA01	SXXA01	SXXA01 sp010027915	NrdA	NrdAz
Bacteria	Margulisbacteria	Marinamargulisbacteria	DT-59	DT-59	DT-59	DT-59 sp013215865	NrdA	NrdAz
Bacteria	Margulisbacteria	Marinamargulisbacteria	SXXA01	SICP01	SICP01	SICP01 sp009691415	NrdA	NrdAz
Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA1611	GCA-002708715	GCA-002708715 sp002694025	NrdA	NrdAe
Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	GCA-002704045	GCA-002704045	GCA-002704045 sp002703375	NrdA	NrdAe
Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TMED108	TMED108 sp002724735	NrdA	NrdAg
Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TMED108	TMED108 sp002724735	NrdA	NrdAk
Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	GCA-2689995	GCA-2689995	GCA-2689995 sp002689995	NrdA	NrdAk
Bacteria	Mcinerneyibacteriota	Mcinerneyibacteria	Mcinerneyibacteriales	DSCS01	DSCS01	DSCS01 sp011048995	NrdD	NrdDd
Bacteria	Mcinerneyibacteriota	Mcinerneyibacteria	Mcinerneyibacteriales	Mcinerneyibacteriaceae	Mcinerneyibacterium	Mcinerneyibacterium aminivorans	NrdD	NrdDd
Bacteria	Mcinerneyibacteriota	Mcinerneyibacteria	Mcinerneyibacteriales	DSCS01	DSCS01	DSCS01 sp011048995	NrdJ	NrdJm
Archaea	Methanobacteriota	Thermococci	Methanofastidiosales	B48-G16	B48-G16	B48-G16 sp003660605	NrdD	NrdDd
Archaea	Methanobacteriota	Thermococci	Methanofastidiosales	B48-G16	B48-G16	B48-G16 sp003660605	NrdD	NrdDd
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii	NrdD	NrdDi
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp000221185	NrdD	NrdDi
Archaea	Methanobacteriota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_B	Thermococcus_B paralvinellae	NrdD	NrdDi
Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	AR37	AR37 sp003220345	NrdJ	NrdJd
Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	Methylomirabilaceae	Methylomirabilis	Methylomirabilis oxyfera_A	NrdJ	NrdJuc02
Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	40CM-68-15	40CM-68-15 sp001917585	NrdJ	NrdJuc02
Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	UBA12499	UBA12499 sp001788415	NrdJ	NrdJuc02
Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	DSHD01	DSHD01 sp011058515	NrdJ	NrdJuc02
Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276	UBA12276 sp8261u	NrdA	NrdAz
Archaea	Micrarchaeota	Micrarchaeia	UBA8480	UBA97	UBA97	UBA97 sp001871595	NrdA	NrdAz
Archaea	Micrarchaeota	Micrarchaeia	UBA8480	UBA93	UBA95	UBA95 sp002499405	NrdD	NrdDd
Archaea	Micrarchaeota	Micrarchaeia	UBA10214	UBA10214	CAIKOA01	CAIKOA01 sp903828955	NrdD	NrdDd
Archaea	Micrarchaeota	Micrarchaeia	UBA8480	UBA8480	UBA8480	UBA8480 sp013425325	NrdD	NrdDd
Bacteria	Moduliflexota	Moduliflexia	Moduliflexales	Moduliflexaceae	Moduliflexus	Moduliflexus flocculans	NrdD	NrdDf
Bacteria	Moduliflexota	Moduliflexia	Moduliflexales	DSSU01	DSSU01	DSSU01 sp011330975	NrdD	NrdDf
Bacteria	Moduliflexota	Moduliflexia	Moduliflexales	Moduliflexaceae	GCA-2748425	GCA-2748425 sp002748425	NrdD	NrdDf
Bacteria	Moduliflexota	Moduliflexia	Moduliflexales	Moduliflexaceae	Vecturithrix	Vecturithrix granuli	NrdD	NrdDf
Bacteria	Moduliflexota	Moduliflexia	Moduliflexales	DSSU01	DSSU01	DSSU01 sp011330975	NrdJ	NrdJd
Bacteria	Muirbacteria	Muirbacteriia	Muirbacteriales	Muirbacteriaceae	Muirbacterium	Muirbacterium halophilum	NrdD	NrdDd
Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NIC37A-2	NIC37A-2 sp012514535	NrdA	NrdAn
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus sp010998615	NrdA	NrdAn
Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	UBA2376	UBA2376 sp005779305	NrdA	NrdAn
Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Chondromyces	Chondromyces crocatus	NrdA	NrdAn
Bacteria	Myxococcota	WYAZ01	WYAZ01	WYAZ01	WYAZ01	WYAZ01 sp011526105	NrdA	NrdAn
Archaea	Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	GCA-2687185	GCA-2687185	GCA-2687185 sp002687185	NrdA	NrdAe
Archaea	Nanoarchaeota	Nanoarchaeia	UBA583	UBA583	UBA583	UBA583 sp013215525	NrdA	NrdAh
Archaea	Nanoarchaeota	Nanoarchaeia	UBA583	UBA583	UBA583	UBA583 sp002506365	NrdA	NrdAh
Archaea	Nanoarchaeota	Nanoarchaeia	UBA10117	ARS21	ARS21	ARS21 sp002725495	NrdA	NrdAi
Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SKIA01	SKIA01	SKIA01 sp007128245	NrdA	NrdAi
Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g21	B1-Br10-U2g21 sp001564145	NrdA	NrdAi
Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	Nanosalina sp000220375	NrdA	NrdAi
Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	Nanosalina sp000220375	NrdA	NrdAi
Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	SG9	SG9 sp001761425	NrdA	NrdAz
Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g21	B1-Br10-U2g21 sp001564145	NrdJ	NrdJuc02
Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	UBA8687	UBA8687 sp009873655	NrdJ	NrdJd
Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	LS-NOB sp009873635	NrdJ	NrdJd
Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	SZUA-259	SZUA-259 sp003246675	NrdJ	NrdJd
Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	LS-NOB sp001542995	NrdJ	NrdJd
Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	SMVS01	SMVS01 sp004357435	NrdJ	NrdJd
Bacteria	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	Bin107 sp011523725	NrdJ	NrdJd
Bacteria	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	Bin107 sp002238965	NrdJ	NrdJd
Bacteria	Nitrospinota_A	UBA8248	UBA8248	UBA3496	UBA3496	UBA3496 sp002377645	NrdJ	NrdJd
Bacteria	Nitrospinota_A	UBA8248	UBA8248	UBA8248	2-12-FULL-69-37	2-12-FULL-69-37 sp001790955	NrdJ	NrdJd
Bacteria	Nitrospinota_B	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22 sp001803565	NrdD	NrdDf
Bacteria	Nitrospinota_B	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22	2-12-FULL-45-22 sp001803565	NrdJ	NrdJuc02
Bacteria	Nitrospirota	Thermodesulfovibrionia	UBA6902	UBA6902	Glo-13	Glo-13 sp003354025	NrdA	NrdAi
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_F	Nitrospira_F inopinata	NrdA	NrdAn
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_C	Nitrospira_C japonica	NrdA	NrdAn
Bacteria	Nitrospirota	Nitrospiria	SBBL01	SBBL01	SBBL01	SBBL01 sp005239745	NrdA	NrdAn
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_C	Nitrospira_C sp011405515	NrdA	NrdAn
Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	Leptospirillum_A	Leptospirillum_A ferriphilum	NrdJ	NrdJuc02
Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	Leptospirillum_A	Leptospirillum_A ferriphilum	NrdJ	NrdJuc02
Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	Leptospirillum_A	Leptospirillum_A ferriphilum_B	NrdJ	NrdJuc02
Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	Leptospirillum_A	Leptospirillum_A rubarum	NrdJ	NrdJuc02
Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	Leptospirillum	Leptospirillum ferrooxidans	NrdJ	NrdJuc02
Bacteria	NPL-UPA2	NPL-UPA2	NPL-UPA2	JAADIA01	JAADIA01	JAADIA01 sp013151555	NrdD	NrdDf
Bacteria	NPL-UPA2	NPL-UPA2	NPL-UPA2	NPL-UPA2	NPL-UPA2	NPL-UPA2 sp003574845	NrdD	NrdDf
Bacteria	OLB16	OLB16	SURF-12	SURF-12	JABLXU01	JABLXU01 sp013177805	NrdJ	NrdJd
Bacteria	OLB16	OLB16	OLB16	OLB16	JABWAZ01	JABWAZ01 sp013360775	NrdJ	NrdJd
Bacteria	OLB16	OLB16	OLB16	OLB16	JABWAZ01	JABWAZ01 sp013360775	NrdJ	NrdJuc02
Bacteria	OLB16	OLB16	OLB16	OLB16	OLB16	OLB16 sp001567115	NrdJ	NrdJuc02
Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	CAJARJ01	CAJARJ01 sp903944345	NrdA	NrdAh
Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	GCA-2753465	GCA-2753465 sp903959815	NrdA	NrdAh
Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	GCA-2753465	GCA-2753465 sp903861305	NrdA	NrdAh
Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	GCA-2753465	GCA-2753465 sp903860135	NrdA	NrdAh
Bacteria	Omnitrophota	Koll11	UBA10015	GCA-002753745	GCA-2753465	GCA-2753465 sp903901225	NrdA	NrdAh
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	SZUA-47	RFTN01	RFTN01 sp009923445	NrdA	NrdAe
Bacteria	Patescibacteria	JACMRA01	JACMRA01	JACMRA01	JACMQI01	JACMQI01 sp014377045	NrdA	NrdAe
Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	GCA-2747955	JABACC01	JABACC01 sp014237915	NrdA	NrdAe
Bacteria	Patescibacteria	Gracilibacteria	UBA1369	UBA1369	CAIOIA01	CAIOIA01 sp903858295	NrdA	NrdAe
Bacteria	Patescibacteria	JACMRA01	JACMRA01	JACMRA01	JAAUSE01	JAAUSE01 sp012031925	NrdA	NrdAe
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	UBA854	UBA854 sp002591705	NrdA	NrdAe
Bacteria	Planctomycetota	UBA11346	UBA11346	UBA11346	REDP01	REDP01 sp007695355	NrdA	NrdAe
Bacteria	Planctomycetota	UBA11346	UBA11346	UBA11346	CAIUVD01	CAIUVD01 sp903902515	NrdA	NrdAe
Bacteria	Planctomycetota	UBA1135	UBA1135	UBA1135	GCA-2705055	GCA-2705055 sp002705055	NrdA	NrdAg
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	UBA721	UBA721 sp002701385	NrdA	NrdAg
Bacteria	Poribacteria	WGA-4E	WGA-4E	UBA9662	TMED15	TMED15 sp002714785	NrdA	NrdAe
Bacteria	Poribacteria	WGA-4E	WGA-4E	UBA9662	TMED15	TMED15 sp002729015	NrdA	NrdAr
Bacteria	Poribacteria	WGA-4E	WGA-4E	UBA9662	TMED15	TMED15 sp002729015	NrdA	NrdAr
Bacteria	Poribacteria	WGA-4E	WGA-4E	UBA9662	UBA9662	UBA9662 sp012963885	NrdA	NrdAz
Bacteria	Poribacteria	WGA-4E	WGA-4E	UBA9662	UBA9662	UBA9662 sp002709695	NrdA	NrdAz
Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	AG-337-I02	AG-337-I02 sp902521315	NrdA	NrdAe
Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	HIMB59	HIMB59	HIMB59 sp902617515	NrdA	NrdAe
Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	HIMB59	HIMB59	HIMB59 sp902575725	NrdA	NrdAe
Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	AG-337-I02	AG-337-I02 sp902553945	NrdA	NrdAe
Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	AG-337-I02	AG-337-I02 sp902590695	NrdA	NrdAe
Archaea	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01 sp003553905	NrdD	NrdDd
Archaea	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01 sp003555465	NrdD	NrdDd
Archaea	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01 sp003554235	NrdD	NrdDd
Archaea	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01 sp003554845	NrdD	NrdDd
Archaea	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01	PWEA01 sp003550625	NrdD	NrdDd
Archaea	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01 sp003663355	NrdD	NrdDd
Archaea	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01 sp003663355	NrdJ	NrdJuc02
Archaea	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01	QMZS01 sp003663295	NrdJ	NrdJuc02
Bacteria	QNDG01	QNDG01	QNDG01	JABMRT01	DSAP01	DSAP01 sp011046415	NrdD	NrdDd
Bacteria	QNDG01	QNDG01	QNDG01	QNDG01	QNDG01	QNDG01 sp003645915	NrdD	NrdDd
Bacteria	QNDG01	QNDG01	QNDG01	DTFT01	DTFT01	DTFT01 sp011363065	NrdJ	NrdJuc02
Bacteria	QNDG01	QNDG01	QNDG01	JABMRT01	JABMRT01	JABMRT01 sp013202295	NrdJ	NrdJuc02
Bacteria	QNDG01	QNDG01	QNDG01	DSAB01	DSAB01	DSAB01 sp011388275	NrdJ	NrdJuc02
Bacteria	Ratteibacteria	UBA8468	UBA8468	UBA8468	UBA8468	UBA8468 sp002791075	NrdD	NrdDd
Bacteria	Ratteibacteria	UBA8468	B48-G9	B48-G9	DSTR01	DSTR01 sp011329245	NrdD	NrdDd
Bacteria	Ratteibacteria	UBA8468	B48-G9	B48-G9	JAAYXZ01	JAAYXZ01 sp012515635	NrdD	NrdDd
Bacteria	Ratteibacteria	UBA8468	B48-G9	DTJG01	DTJG01	DTJG01 sp002070645	NrdD	NrdDf
Bacteria	Ratteibacteria	UBA8468	B48-G9	DTJG01	DTJG01	DTJG01 sp002070645	NrdD	NrdDf
Bacteria	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14 sp001797815	NrdJ	NrdJuc02
Bacteria	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	DRUE01	DRUE01	DRUE01 sp011388515	NrdJ	NrdJuc02
Bacteria	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	DRUE01	CAIYYW01	CAIYYW01 sp903897985	NrdJ	NrdJuc02
Bacteria	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	DRUE01	DTOP01	DTOP01 sp011337885	NrdJ	NrdJuc02
Bacteria	RBG-13-61-14	RBG-13-61-14	RBG-13-61-14	DRUE01	CAIYYW01	CAIYYW01 sp903930515	NrdJ	NrdJuc02
Bacteria	RBG-13-66-14	B26-G2	WVWN01	WVWN01	WVWN01	WVWN01 sp011773985	NrdJ	NrdJuc02
Bacteria	RBG-13-66-14	B26-G2	B26-G2	B26-G2	B26-G2	B26-G2 sp003647715	NrdJ	NrdJuc02
Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	RUG334	RUG334 sp900317935	NrdD	NrdDc
Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	RUG334	RUG334 sp900317935	NrdD	NrdDc
Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	Ozemobacter	Ozemobacter sibiricus	NrdD	NrdDd
Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	MWDD01	MWDD01 sp002070375	NrdD	NrdDd
Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	Rifleibacterium	Rifleibacterium sp002839435	NrdD	NrdDd
Bacteria	SAR324	SAR324	XYD2-FULL-50-16	HCM1	HCM1	HCM1 sp002995645	NrdD	NrdDh
Bacteria	SAR324	SAR324	XYD2-FULL-50-16	XYD2-FULL-50-16	XYD2-FULL-50-16	XYD2-FULL-50-16 sp001783695	NrdJ	NrdJd
Bacteria	SAR324	SAR324	XYD2-FULL-50-16	XYD2-FULL-50-16	XYC1-FULL-56-13	XYC1-FULL-56-13 sp001783715	NrdJ	NrdJd
Bacteria	SAR324	SAR324	XYD2-FULL-50-16	XYD2-FULL-50-16	GCA-002401295	GCA-002401295 sp002401295	NrdJ	NrdJd
Bacteria	SAR324	SAR324	XYD2-FULL-50-16	HCM1	HCM1	HCM1 sp002995645	NrdJ	NrdJd
Bacteria	Schekmanbacteria	GWA2-38-11	GWA2-38-11	GWA2-38-11	2-02-FULL-38-14-A	2-02-FULL-38-14-A sp001790855	NrdJ	NrdJuc02
Bacteria	SLNR01	SLNR01	SLNR01	SLNR01	SLNR01	SLNR01 sp007132905	NrdJ	NrdJuc02
Bacteria	SM23-31	SM23-31	B21-G16	B21-G16	B21-G16	B21-G16 sp003644825	NrdJ	NrdJuc02
Bacteria	SM23-31	SM23-31	SM23-31	SM23-31	SM23-31	SM23-31 sp001304035	NrdJ	NrdJuc02
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A noumeaensis	NrdA	NrdAe
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A mtsangambouensis	NrdA	NrdAe
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A congkakensis	NrdA	NrdAe
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A harrisiae	NrdA	NrdAe
Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira_A	Leptospira_A ilyithenensis	NrdA	NrdAe
Bacteria	SpSt-1050	SpSt-1050	SpSt-1050	SpSt-1050	SpSt-1050	SpSt-1050 sp011373705	NrdJ	NrdJuc02
Archaea	SpSt-1190	SpSt-1190	SpSt-1190	SpSt-1190	SpSt-1190	SpSt-1190 sp011049195	NrdD	NrdDd
Bacteria	SpSt-318	SpSt-318	SpSt-318	SpSt-318	SpSt-318	SpSt-318 sp011047235	NrdD	NrdDf
Bacteria	SpSt-956	SpSt-956	SpSt-956	SpSt-956	SpSt-956	SpSt-956 sp011343225	NrdJ	NrdJuc02
